"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","Z-Swing%","O-Swing%","RE24","wOBA","playerid"
"Christian Walker","ARI","160","583","667","141","78","25","2","36","84","94","69","2","131","8","7","0","15","2","2",".242","70.1%","27.2%","16.71",".346","13419"
"Rhys Hoskins","PHI","156","589","672","145","80","33","2","30","81","79","72","0","169","6","4","0","12","2","1",".246","63.9%","25.8%","15.45",".345","16472"
"Eugenio Suarez","SEA","150","543","629","128","71","24","2","31","76","87","73","0","196","8","5","0","12","0","0",".236","65.8%","24.7%","20.36",".344","12552"
"Matt Olson","ATL","162","616","699","148","70","44","0","34","86","103","75","6","170","4","4","0","13","0","0",".240","75.4%","32.8%","18.16",".344","14344"
"Josh Bell","- - -","156","552","647","147","98","29","3","17","78","71","81","4","102","5","6","0","22","0","1",".266","70.1%","29.1%","8.02",".344","13145"
"Mark Canha","NYM","140","462","542","123","86","24","0","13","71","61","48","1","97","28","4","0","3","3","1",".266","63.3%","27.7%","28.81",".343","11445"
"J.D. Martinez","BOS","139","533","596","146","86","43","1","16","76","62","52","1","145","5","5","0","20","0","0",".274","78.1%","34.9%","-7.64",".343","6184"
"Justin Turner","LAD","128","468","532","130","81","36","0","13","61","81","50","1","89","6","8","0","13","3","0",".278","72.5%","31.3%","22.53",".343","5235"
"Andrew Benintendi","- - -","126","461","521","140","109","23","3","5","54","51","52","0","77","2","5","1","7","8","3",".304","74.9%","27.9%","9.76",".342","17901"
"Francisco Lindor","NYM","161","630","706","170","114","25","5","26","98","107","59","2","133","10","7","0","11","16","6",".270","69.0%","33.8%","36.39",".342","12916"
"Steven Kwan","CLE","147","563","638","168","130","25","7","6","89","52","62","2","60","7","4","2","9","19","5",".298","55.3%","23.3%","13.20",".341","24610"
"Ian Happ","CHC","158","573","641","155","94","42","2","17","72","72","58","4","149","6","4","0","11","9","4",".271","74.6%","30.7%","-1.66",".339","17919"
"Dansby Swanson","ATL","162","640","696","177","119","32","1","25","99","96","49","0","182","3","4","0","12","18","7",".277","74.6%","31.4%","22.35",".337","18314"
"Ty France","SEA","140","551","613","151","103","27","1","20","65","83","35","3","94","21","5","0","18","0","0",".274","78.5%","35.8%","27.76",".337","17982"
"Anthony Santander","BAL","152","574","647","138","81","24","0","33","78","89","55","1","122","13","5","0","14","0","2",".240","68.3%","35.0%","10.55",".336","14551"
"Randy Arozarena","TBR","153","586","645","154","90","41","3","20","72","89","46","2","156","11","2","0","17","32","12",".263","65.6%","33.4%","11.28",".336","19290"
